x,y
0.000000000000000000e+00,0.000000000000000000e+00
3.141075907812829193e-01,4.934396342683999848e-03
6.279051952931337111e-01,1.973271571728441032e-02
9.410831331851432502e-01,4.438035396920003706e-02
1.253332335643042583e+00,7.885298685522124096e-02
1.564344650402308634e+00,1.231165940486222965e-01
1.873813145857246232e+00,1.771274927131127885e-01
2.181432413965425532e+00,2.408323806125256539e-01
2.486898871648548059e+00,3.141683887136892395e-01
2.789911060392292974e+00,3.970631432305693487e-01
3.090169943749474069e+00,4.894348370484646882e-01
3.387379202452914129e+00,5.911923104577454513e-01
3.681245526846779637e+00,7.022351411174865277e-01
3.971478906347805982e+00,8.224537431601885995e-01
4.257792915650727039e+00,9.517294753398053420e-01
4.539904997395467490e+00,1.089934758116321012e+00
4.817536741017153012e+00,1.236933199561364161e+00
5.090414157503713177e+00,1.392579729960563562e+00
5.358267949789966345e+00,1.556720744979849247e+00
5.620833778521305391e+00,1.729194257254381695e+00
5.877852522924731815e+00,1.909830056250525487e+00
6.129070536529765079e+00,2.098449876243097201e+00
6.374239897486897455e+00,2.294867572242108800e+00
6.613118653236519151e+00,2.498889303695404962e+00
6.845471059286887261e+00,2.710313725785884476e+00
7.071067811865474617e+00,2.928932188134524495e+00
7.289686274214115969e+00,3.154528940713113627e+00
7.501110696304595926e+00,3.386881346763481737e+00
7.705132427757892088e+00,3.625760102513103433e+00
7.901550123756903687e+00,3.870929463470234921e+00
8.090169943749474513e+00,4.122147477075268185e+00
8.270805742745618971e+00,4.379166221478694609e+00
8.443279255020151197e+00,4.641732050210034544e+00
8.607420270039437327e+00,4.909585842496287711e+00
8.763066800438636506e+00,5.182463258982847876e+00
8.910065241883678766e+00,5.460095002604532510e+00
9.048270524660196656e+00,5.742207084349272961e+00
9.177546256839811178e+00,6.028521093652194907e+00
9.297764858882514361e+00,6.318754473153220808e+00
9.408807689542255659e+00,6.612620797547087648e+00
9.510565162951534646e+00,6.909830056250525487e+00
9.602936856769431984e+00,7.210088939607709690e+00
9.685831611286310761e+00,7.513101128351452829e+00
9.759167619387472570e+00,7.818567586034572692e+00
9.822872507286886545e+00,8.126186854142755323e+00
9.876883405951378592e+00,8.435655349597690034e+00
9.921147013144778981e+00,8.746667664356959193e+00
9.955619646030800851e+00,9.058916866814856306e+00
9.980267284282716034e+00,9.372094804706867066e+00
9.995065603657316444e+00,9.685892409218718413e+00
1.000000000000000000e+01,9.999999999999998224e+00
9.995065603657316444e+00,1.031410759078128514e+01
9.980267284282716034e+00,1.062790519529313471e+01
9.955619646030800851e+00,1.094108313318514369e+01
9.921147013144777205e+00,1.125333233564304258e+01
9.876883405951378592e+00,1.156434465040230819e+01
9.822872507286886545e+00,1.187381314585724823e+01
9.759167619387474346e+00,1.218143241396542464e+01
9.685831611286310761e+00,1.248689887164854895e+01
9.602936856769430207e+00,1.278991106039229386e+01
9.510565162951536422e+00,1.309016994374947451e+01
9.408807689542253883e+00,1.338737920245291591e+01
9.297764858882512584e+00,1.368124552684678008e+01
9.177546256839811178e+00,1.397147890634780687e+01
9.048270524660194880e+00,1.425779291565072704e+01
8.910065241883678766e+00,1.453990499739546749e+01
8.763066800438634729e+00,1.481753674101715390e+01
8.607420270039437327e+00,1.509041415750371229e+01
8.443279255020149421e+00,1.535826794978996901e+01
8.270805742745617195e+00,1.562083377852130894e+01
8.090169943749474513e+00,1.587785252292473004e+01
7.901550123756902799e+00,1.612907053652976685e+01
7.705132427757892088e+00,1.637423989748689834e+01
7.501110696304593262e+00,1.661311865323651915e+01
7.289686274214114192e+00,1.684547105928688637e+01
7.071067811865475505e+00,1.707106781186547551e+01
6.845471059286884596e+00,1.728968627421411952e+01
6.613118653236518263e+00,1.750111069630459681e+01
6.374239897486894790e+00,1.770513242775789564e+01
6.129070536529763302e+00,1.790155012375690546e+01
5.877852522924732703e+00,1.809016994374947274e+01
5.620833778521308055e+00,1.827080574274561542e+01
5.358267949789961904e+00,1.844327925502015120e+01
5.090414157503710513e+00,1.860742027003943733e+01
4.817536741017152124e+00,1.876306680043863651e+01
4.539904997395468378e+00,1.891006524188367877e+01
4.257792915650728816e+00,1.904827052466019310e+01
3.971478906347802429e+00,1.917754625683981473e+01
3.681245526846777416e+00,1.929776485888251258e+01
3.387379202452913241e+00,1.940880768954225744e+01
3.090169943749474957e+00,1.951056516295153642e+01
2.789911060392295639e+00,1.960293685676942843e+01
2.486898871648543619e+00,1.968583161128631076e+01
2.181432413965423311e+00,1.975916761938747612e+01
1.873813145857245788e+00,1.982287250728688832e+01
1.564344650402309744e+00,1.987688340595137859e+01
1.253332335643040807e+00,1.992114701314477898e+01
9.410831331851390313e-01,1.995561964603080085e+01
6.279051952931313796e-01,1.998026728428271426e+01
3.141075907812823642e-01,1.999506560365731644e+01
1.224646799147353256e-15,2.000000000000000000e+01
-3.141075907812843626e-01,1.999506560365731644e+01
-6.279051952931378189e-01,1.998026728428271426e+01
-9.410831331851454706e-01,1.995561964603080085e+01
-1.253332335643042805e+00,1.992114701314477898e+01
-1.564344650402307302e+00,1.987688340595137859e+01
-1.873813145857247786e+00,1.982287250728688477e+01
-2.181432413965429529e+00,1.975916761938747612e+01
-2.486898871648550280e+00,1.968583161128631076e+01
-2.789911060392292974e+00,1.960293685676943198e+01
-3.090169943749472736e+00,1.951056516295153642e+01
-3.387379202452915017e+00,1.940880768954225744e+01
-3.681245526846783189e+00,1.929776485888251258e+01
-3.971478906347807758e+00,1.917754625683981118e+01
-4.257792915650727039e+00,1.904827052466019666e+01
-4.539904997395466602e+00,1.891006524188367877e+01
-4.817536741017153901e+00,1.876306680043863651e+01
-5.090414157503716730e+00,1.860742027003943377e+01
-5.358267949789967233e+00,1.844327925502014764e+01
-5.620833778521305391e+00,1.827080574274561542e+01
-5.877852522924730039e+00,1.809016994374947274e+01
-6.129070536529765967e+00,1.790155012375690191e+01
-6.374239897486900119e+00,1.770513242775788854e+01
-6.613118653236520927e+00,1.750111069630459326e+01
-6.845471059286887261e+00,1.728968627421411597e+01
-7.071067811865474617e+00,1.707106781186547551e+01
-7.289686274214115969e+00,1.684547105928688637e+01
-7.501110696304598591e+00,1.661311865323651560e+01
-7.705132427757893865e+00,1.637423989748689479e+01
-7.901550123756903687e+00,1.612907053652976685e+01
-8.090169943749472736e+00,1.587785252292473359e+01
-8.270805742745622524e+00,1.562083377852130184e+01
-8.443279255020152974e+00,1.535826794978996368e+01
-8.607420270039437327e+00,1.509041415750371051e+01
-8.763066800438636506e+00,1.481753674101715212e+01
-8.910065241883678766e+00,1.453990499739546927e+01
-9.048270524660198433e+00,1.425779291565072171e+01
-9.177546256839812955e+00,1.397147890634780332e+01
-9.297764858882514361e+00,1.368124552684678008e+01
-9.408807689542253883e+00,1.338737920245291413e+01
-9.510565162951534646e+00,1.309016994374947451e+01
-9.602936856769431984e+00,1.278991106039228676e+01
-9.685831611286312537e+00,1.248689887164854362e+01
-9.759167619387474346e+00,1.218143241396542287e+01
-9.822872507286886545e+00,1.187381314585724645e+01
-9.876883405951376815e+00,1.156434465040230997e+01
-9.921147013144778981e+00,1.125333233564303725e+01
-9.955619646030800851e+00,1.094108313318513837e+01
-9.980267284282716034e+00,1.062790519529313293e+01
-9.995065603657316444e+00,1.031410759078128336e+01
-1.000000000000000000e+01,1.000000000000000178e+01
-9.995065603657314668e+00,9.685892409218711308e+00
-9.980267284282716034e+00,9.372094804706863513e+00
-9.955619646030800851e+00,9.058916866814854529e+00
-9.921147013144778981e+00,8.746667664356957417e+00
-9.876883405951378592e+00,8.435655349597691810e+00
-9.822872507286886545e+00,8.126186854142748217e+00
-9.759167619387472570e+00,7.818567586034570027e+00
-9.685831611286310761e+00,7.513101128351450164e+00
-9.602936856769430207e+00,7.210088939607707914e+00
-9.510565162951536422e+00,6.909830056250527264e+00
-9.408807689542253883e+00,6.612620797547082319e+00
-9.297764858882516137e+00,6.318754473153225248e+00
-9.177546256839811178e+00,6.028521093652193130e+00
-9.048270524660191327e+00,5.742207084349265855e+00
-8.910065241883680542e+00,5.460095002604533398e+00
-8.763066800438632953e+00,5.182463258982843435e+00
-8.607420270039439103e+00,4.909585842496291264e+00
-8.443279255020149421e+00,4.641732050210032767e+00
-8.270805742745613642e+00,4.379166221478686616e+00
-8.090169943749476289e+00,4.122147477075270849e+00
-7.901550123756901023e+00,3.870929463470230480e+00
-7.705132427757895641e+00,3.625760102513106986e+00
-7.501110696304595038e+00,3.386881346763480849e+00
