x,y
-2.773173182490041744e-18,2.636025414587290783e-01
9.264171389508130128e-01,1.455162371888203410e-01
1.751798837318034430e+00,2.713510643362297969e-01
2.635642267800986094e+00,2.560467846522369584e-01
3.506877407773253630e+00,2.711816109773161898e-01
4.311469071867824354e+00,4.472080057769609596e-01
5.042642750323304668e+00,8.005273657644735863e-01
5.754694794577526196e+00,1.252927990946862025e+00
6.199631159505963218e+00,1.962468191300066778e+00
6.516036228076366399e+00,2.708839026501377312e+00
6.632211416354325983e+00,3.521451740153817678e+00
6.622423020314704090e+00,4.439164018682326684e+00
6.355426904251615383e+00,5.205340144408762804e+00
5.955607739451791005e+00,5.919043892574261889e+00
5.369858447399915136e+00,6.488477246359817485e+00
4.662199220104941588e+00,6.903278779583470026e+00
3.902655734384441022e+00,7.188064349816007059e+00
3.195989174913868247e+00,7.600451610882902109e+00
2.520031508616324523e+00,8.086713417788887526e+00
1.757167389190556595e+00,8.362970479869193952e+00
9.218852493763634026e-01,8.464306280053456533e+00
2.867352191354797381e-02,8.425804301271311303e+00
-9.079793604580966848e-01,8.282548026452396073e+00
-1.873584964998769253e+00,8.069620938526346876e+00
-2.853654858968666552e+00,7.822106520422799747e+00
-3.833700609627997746e+00,7.575088255071392496e+00
-4.799233784236959899e+00,7.363649625401760268e+00
-5.735960676533568225e+00,7.222396505412501000e+00
-6.639112296567534877e+00,7.162573336044084193e+00
-7.517559688145402319e+00,7.161969416362611085e+00
-8.381225105145784227e+00,7.195795724681680383e+00
-9.240030801447264963e+00,7.239263239314890797e+00
-1.010386766067462361e+01,7.267680991021551407e+00
-1.097819398112716804e+01,7.270212722559534768e+00
-1.185949360282717535e+01,7.264073195593667265e+00
-1.274176263418741506e+01,7.265745774515086630e+00
-1.361179893348628056e+01,7.259422595530633515e+00
-1.447528741042839862e+01,7.245596501783063026e+00
-1.485412313102903248e+01,6.754795925398255463e+00
-1.480846234282547336e+01,5.840493348626255354e+00
-1.457444317966094971e+01,4.728437190746221930e+00
-1.438808071211335893e+01,3.644281234784366497e+00
-1.438152638679522966e+01,2.733807628942511059e+00
-1.439495501879694572e+01,1.917415155907061575e+00
-1.442129642624898622e+01,1.001768618492791418e+00
-1.433186593648395402e+01,2.268595063771341458e-01
-1.336595518601425070e+01,2.521945728558545596e-01
-1.271080290533546098e+01,4.268449683936816896e-01
-1.279638090384604787e+01,1.403630100596148900e+00
-1.283911742455383731e+01,2.299221794887854387e+00
-1.237111437133843239e+01,2.861909440735710852e+00
-1.146409773550328026e+01,2.764707051947524974e+00
-1.056666181590384923e+01,2.718927062833213171e+00
-9.825142074692951866e+00,3.047157178518704157e+00
-9.059349596181938580e+00,3.453126261896389604e+00
-8.739603302916679084e+00,4.230157694530343626e+00
-8.509028861946259070e+00,5.054148813399112150e+00
-8.793477893021901082e+00,5.847311536282246536e+00
-9.111415555287504020e+00,6.637774779717924289e+00
-9.872992760995598971e+00,7.039973931696495768e+00
-1.053772069389077615e+01,7.378695542207659663e+00
-9.761113473347961644e+00,7.481615175766671122e+00
-8.562412448102689311e+00,7.364147853773085117e+00
-7.713582394327171521e+00,7.525756903616669824e+00
-6.955391553719326048e+00,7.472425364047115437e+00
-6.709428579223344791e+00,6.857822870651260949e+00
-6.813461753427636935e+00,5.869345574627624629e+00
-7.057746569683281734e+00,4.730836283298722300e+00
-7.233969145612677565e+00,3.664617931099619863e+00
-7.245267249051420499e+00,2.774608959533947150e+00
-7.184730223549008699e+00,1.962872193961857192e+00
-7.234539488732645296e+00,1.030315323177408260e+00
-7.157002017336961508e+00,2.387009782009110737e-01
-6.220604703403116886e+00,2.576911125728438279e-01
-5.574444462534337674e+00,4.451788260835023436e-01
-5.663483005291866768e+00,1.417795195740173320e+00
-5.687086714397576515e+00,2.343702234724336364e+00
-5.653734150537110814e+00,3.204535021305387588e+00
-5.501453434308457346e+00,4.019276410627332652e+00
-4.804383956425539282e+00,4.603000087399043316e+00
-3.960145884243986725e+00,4.509997135706455218e+00
-3.438016983191754861e+00,3.916145042032741053e+00
-3.274363518627098735e+00,3.103680843233523667e+00
-3.503455142135902811e+00,2.134470607457872759e+00
-3.500331336693623285e+00,1.257770395802334740e+00
-3.536754163315197985e+00,3.538040902202492788e-01
-2.873412812703921571e+00,0.000000000000000000e+00
-1.860978605417929810e+00,2.869302991505087164e-01
-1.215363100854775835e+00,1.030037054269267394e+00
-1.021501484609111277e+00,2.017647675488782433e+00
-1.225640413987666211e+00,3.032234393835062214e+00
-1.774026546297171603e+00,3.856269440334110676e+00
-2.099649169264744764e+00,4.606448145370869440e+00
-2.463316130557722250e+00,5.387316872801242162e+00
-3.249096423965501579e+00,5.717773035220249156e+00
-4.174186977117696706e+00,5.780160432721020314e+00
-4.907416479931896447e+00,5.388953711933893054e+00
-5.608040709798261858e+00,4.967815796286021879e+00
-5.518508359215778647e+00,6.392796994088286056e+00
-4.929415310919487148e+00,8.108308325525934279e+00
